date,open,high,low,close
2021-08-03T00:00:00,1210,1210,1200,1200
2021-08-04T00:00:00,1130,1250,1130,1250
2021-08-05T00:00:00,1230,1230,1210,1210
2021-08-06T00:00:00,1230,1230,1207.5,1207.5
2021-08-09T00:00:00,1200,1200,1160,1160
2021-08-10T00:00:00,1195,1195,1172.5,1172.5
2021-08-11T00:00:00,1250,1270,1250,1270
2021-08-12T00:00:00,1270,1270,1270,1270
2021-08-13T00:00:00,1270,1270,1270,1270
2021-08-16T00:00:00,1260,1260,1247.5,1247.5
2021-08-17T00:00:00,1250,1250,1235,1235
2021-08-18T00:00:00,1240,1240,1215,1215
2021-08-19T00:00:00,1200,1200,1190,1190
2021-08-20T00:00:00,1210,1210,1197.5,1197.5
2021-08-23T00:00:00,1225,1225,1225,1225
2021-08-24T00:00:00,1232.5,1232.5,1232.5,1232.5
2021-08-25T00:00:00,1252.5,1252.5,1242.5,1242.5
2021-08-26T00:00:00,1245,1245,1235,1235
2021-08-27T00:00:00,1237.5,1237.5,1232.5,1232.5
2021-08-30T00:00:00,1242.5,1242.5,1225,1225
2021-08-31T00:00:00,1245,1245,1217.5,1217.5
2021-09-01T00:00:00,1230,1230,1207.5,1207.5
2021-09-02T00:00:00,1250,1250,1240,1240
2021-09-03T00:00:00,1250,1250,1245,1245
2021-09-06T00:00:00,1250,1250,1250,1250
2021-09-07T00:00:00,1260,1260,1240,1240
2021-09-08T00:00:00,1275,1275,1235,1235
2021-09-09T00:00:00,1260,1260,1250,1250
2021-09-10T00:00:00,1240,1240,1230,1230
2021-09-13T00:00:00,1240,1240,1192.5,1192.5
2021-09-14T00:00:00,1265,1265,1245,1245
2021-09-15T00:00:00,1280,1280,1235,1235
2021-09-16T00:00:00,1280,1280,1230,1230
2021-09-17T00:00:00,1210,1220,1210,1220
2021-09-20T00:00:00,1220,1220,1207.5,1207.5
2021-09-21T00:00:00,1230,1230,1217.5,1217.5
2021-09-22T00:00:00,1260,1260,1255,1255
2021-09-23T00:00:00,1280,1280,1275,1275
2021-09-24T00:00:00,1285,1285,1280,1280
2021-09-27T00:00:00,1295,1295,1290,1290
2021-09-28T00:00:00,1300,1305,1300,1305
2021-09-29T00:00:00,1300,1300,1280,1280
2021-09-30T00:00:00,1330,1330,1330,1330
2021-10-01T00:00:00,1320,1320,1315,1315
2021-10-04T00:00:00,1330,1330,1330,1330
2021-10-05T00:00:00,1360,1360,1355,1355
2021-10-06T00:00:00,1380,1380,1367.5,1367.5
2021-10-07T00:00:00,1350,1375,1350,1375
2021-10-08T00:00:00,1400,1400,1360,1360
2021-10-11T00:00:00,1375,1375,1370,1370
2021-10-12T00:00:00,1390,1390,1315,1315
2021-10-13T00:00:00,1415,1415,1362.5,1362.5
2021-10-14T00:00:00,1400,1400,1400,1400
2021-10-15T00:00:00,1375,1375,1347.5,1347.5
2021-10-18T00:00:00,1390,1390,1360,1360
2021-10-19T00:00:00,1395,1450,1395,1450
2021-10-20T00:00:00,1400,1400,1390,1390
2021-10-21T00:00:00,1400,1400,1362.5,1362.5
2021-10-22T00:00:00,1365,1365,1365,1365
2021-10-25T00:00:00,1410,1440,1410,1440
